idx, drive, strafe, turn, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
123, -18, 4.985378, -1.338344, 230.8955, -487.3524, 193.1448, 1068.0, 1127.5, 396.6902, 2345.255, -89.08389, 0.3786706, 0.3654315
124, -18, 4.985378, -1.338344, 230.8955, -487.3524, 193.9772, 1068.0, 1127.5, 396.6097, 2345.272, -89.12399, 0.3254284, 0.3754315
125, -20, 4.025241, -1.16608, 230.8955, -487.3524, 193.9772, 1068.0, 1127.5, 396.6611, 2345.292, -89.17253, 0.3354284, 0.3854315
126, -21, 3.231275, -1.023958, 230.8955, -487.3524, 193.9772, 1068.0, 1130.0, 396.7291, 2345.101, -89.23675, 0.3454283, 0.3301548
127, -21, 3.231275, -1.023958, 230.7403, -487.3524, 193.9772, 1068.0, 1130.0, 396.8261, 2345.294, -89.32978, 0.3554283, 0.3401547
128, -23, 1.623128, -0.6936264, 230.7403, -487.3524, 193.9772, 1068.0, 1130.0, 396.7883, 2345.337, -89.43389, 0.3089744, 0.3501547
129, -23, 1.623128, -0.6936264, 230.3103, -487.3524, 193.9772, 1068.0, 1130.0, 396.9044, 2345.536, -89.54599, 0.3189744, 0.3051959
130, -25, -0.3666043, -0.2790684, 230.3103, -487.3524, 193.9772, 1068.0, 1130.0, 397.0529, 2345.593, -89.6857, 0.3289743, 0.3151958
131, -25, -0.3666043, -0.2790684, 229.6852, -487.3524, 194.8123, 1068.0, 1130.0, 397.1367, 2346.271, -89.81734, 0.2898487, 0.3251958
132, -27, -1.770653, 0.08083449, 229.6852, -487.3524, 194.8123, 1068.0, 1130.0, 397.2575, 2346.317, -89.93081, 0.2998487, 0.3351958
133, -27, -1.770653, 0.08083449, 228.3642, -487.3923, 194.8123, 1068.0, 1127.5, 397.3503, 2347.512, -90.05291, 0.3098487, 0.2943855
134, -29, -2.824951, 0.3988457, 228.3642, -487.3923, 194.8123, 1068.0, 1127.5, 397.4756, 2347.559, -90.1705, 0.3198487, 0.3043855
135, -29, -2.824951, 0.3988457, 226.8037, -487.3923, 197.3358, 1068.0, 1127.5, 397.8291, 2349.155, -90.26107, 0.2831503, 0.3143855
136, -31, -3.356872, 0.6055535, 226.8037, -487.3923, 197.3358, 1068.0, 1127.0, 397.9045, 2348.878, -90.33172, 0.2931503, 0.279115
137, -31, -3.356872, 0.6055535, 224.8176, -487.2371, 197.3358, 1068.0, 1127.0, 398.1435, 2350.888, -90.39637, 0.3031503, 0.289115
138, -32, -3.448069, 0.6719928, 224.8176, -487.2371, 199.0341, 1068.0, 1127.0, 398.575, 2350.905, -90.43985, 0.2707565, 0.299115
139, -33, -3.527985, 0.70801, 222.477, -487.0022, 199.0341, 1068.0, 1127.0, 398.8545, 2353.253, -90.46343, 0.2807565, 0.309115
140, -33, -3.151785, 0.734947, 222.477, -487.0022, 199.0341, 1068.0, 1123.5, 398.8689, 2352.879, -90.47685, 0.2907565, 0.2752041
141, -33, -3.151785, 0.734947, 219.1654, -487.0022, 199.0341, 1068.0, 1123.5, 398.9013, 2356.192, -90.48106, 0.3007565, 0.2852041
142, -33, -2.344266, 0.6608147, 219.1654, -487.0022, 198.1833, 1068.0, 1123.5, 399.0556, 2356.184, -90.46152, 0.2689651, 0.2952041
143, -33, -1.924426, 0.6174077, 214.9584, -487.0022, 198.1833, 1068.0, 1123.5, 399.0554, 2360.38, -90.43254, 0.2789651, 0.3052041
144, -33, -1.924426, 0.6174077, 214.9584, -487.0022, 198.1833, 1068.0, 1120.5, 399.025, 2359.434, -90.40412, 0.2889651, 0.2722905
145, -33, -0.7280519, 0.4606459, 209.6607, -487.0022, 195.6504, 1068.0, 1120.5, 398.8355, 2364.715, -90.36284, 0.2600867, 0.2822905
146, -33, -0.7280519, 0.4606459, 209.6607, -487.0022, 195.6504, 1068.0, 1120.5, 398.7701, 2364.691, -90.30151, 0.2700867, 0.2922905
147, -33, 1.421519, 0.171833, 203.973, -487.8179, 195.6504, 1068.0, 1113.0, 397.8796, 2369.119, -90.21533, 0.2800867, 0.2625998
148, -33, 1.421519, 0.171833, 203.973, -487.8179, 195.6504, 1068.0, 1113.0, 397.7701, 2369.078, -90.11248, 0.2900867, 0.2725998
149, -33, 4.263243, -0.2055306, 197.9706, -489.068, 191.488, 1068.0, 1113.0, 396.0139, 2375.033, -89.99879, 0.2609351, 0.2825998
150, -33, 4.263243, -0.2055306, 197.9706, -489.068, 191.488, 1068.0, 1113.0, 395.8721, 2374.979, -89.86547, 0.2709351, 0.2925998
151, -33, 6.64195, -0.5688837, 189.7116, -490.7437, 191.488, 1068.0, 1100.5, 394.0158, 2381.906, -89.73937, 0.2809351, 0.2628331
152, -33, 6.64195, -0.5688837, 189.7116, -490.7437, 191.488, 1068.0, 1100.5, 393.8972, 2381.86, -89.62764, 0.2909351, 0.2728331
153, -33, 8.162032, -0.7917118, 181.8783, -492.4194, 187.3834, 1068.0, 1100.5, 391.7086, 2389.642, -89.53903, 0.2615763, 0.2828331
154, -33, 8.162032, -0.7917118, 181.8783, -492.4194, 187.3834, 1068.0, 1086.5, 391.6478, 2389.348, -89.48179, 0.2715763, 0.2554334
155, -33, 9.728357, -0.9146012, 172.3736, -495.5359, 187.3834, 1068.0, 1086.5, 388.3902, 2398.803, -89.43951, 0.2815763, 0.2654334
156, -33, 9.728357, -0.9146012, 172.3736, -495.5359, 181.6875, 1068.0, 1086.5, 387.7565, 2398.787, -89.40135, 0.2544766, 0.2754334
157, -33, 11.79035, -0.9199746, 163.9152, -500.0134, 181.6875, 1068.0, 1086.5, 383.1789, 2407.193, -89.39198, 0.2644766, 0.2854334
158, -33, 10.81671, -0.8834681, 163.9152, -500.0134, 181.6875, 1068.0, 1075.0, 383.1851, 2406.141, -89.39784, 0.2744766, 0.2574097
159, -33, 10.81671, -0.8834681, 154.1003, -503.99, 181.6875, 1068.0, 1075.0, 379.1371, 2415.926, -89.42173, 0.2844766, 0.2674097
160, -33, 11.07725, -0.6605234, 154.1003, -503.99, 174.3369, 1068.0, 1075.0, 378.8296, 2415.949, -89.47781, 0.256683, 0.2774097
161, -33, 11.07725, -0.6605234, 144.9015, -507.1863, 174.3369, 1068.0, 1055.0, 375.6666, 2424.388, -89.56766, 0.266683, 0.251297
162, -33, 9.338438, -0.1646063, 144.9015, -507.1863, 174.3369, 1068.0, 1055.0, 375.8185, 2424.446, -89.71058, 0.276683, 0.261297
163, -33, 9.338438, -0.1646063, 134.9668, -510.8081, 168.5085, 1068.0, 1055.0, 372.1516, 2434.453, -89.89226, 0.2507414, 0.271297
164, -33, 7.354818, 0.5384614, 134.9668, -510.8081, 168.5085, 1068.0, 1055.0, 372.3833, 2434.539, -90.10961, 0.2607414, 0.281297
165, -33, 7.354818, 0.5384614, 125.3824, -513.9645, 168.5085, 307.0, 1034.5, 369.5656, 2443.641, -90.35245, 0.2707413, 0.2542639
