dx, heading, dist, lfm CMD, lfm POS, lfm VEL, lfm TRQ, lbm CMD, lbm POS, lbm VEL, lbm TRQ, rfm CMD, rfm POS, rfm VEL, rfm TRQ, rbm CMD, rbm POS, rbm VEL, rbm TRQ
378, 0.1, 351.0, -32.4, 4.3, -33.5, 26.6, 47.6, 0.6, 32.6, 64.9, 47.8, 0.3, 29.9, 54.6, -32.2, 4.2, -35.5, 32.3
379, 0.1, 350.0, -34.3, 4.3, -32.7, 23.5, 47.7, 0.6, 33.3, 66.7, 48.0, 0.4, 32.4, 57.4, -34.0, 4.1, -35.3, 27.5
380, 0.1, 349.5, -35.2, 4.3, -33.4, 20.7, 48.8, 0.6, 33.7, 68.6, 49.3, 0.4, 38.0, 59.1, -34.7, 4.1, -35.6, 23.4
381, 0.2, 349.5, -37.1, 4.2, -32.8, 18.4, 48.9, 0.7, 36.7, 70.7, 49.5, 0.5, 42.5, 60.3, -36.5, 4.1, -36.5, 19.1
382, 0.3, 348.5, -38.6, 4.2, -31.1, 16.7, 49.4, 0.7, 39.4, 72.8, 50.2, 0.5, 41.8, 59.8, -37.8, 4.0, -36.0, 15.3
383, 0.3, 346.0, -40.3, 4.2, -31.6, 15.5, 49.7, 0.8, 41.4, 74.8, 50.6, 0.5, 40.0, 60.5, -39.4, 4.0, -34.5, 11.9
384, 0.4, 346.0, -41.9, 4.1, -31.1, 14.4, 50.1, 0.8, 43.1, 75.6, 51.2, 0.6, 42.4, 61.3, -40.8, 3.9, -34.0, 9.5
385, 0.4, 346.0, -43.6, 4.1, -30.8, 14.1, 50.4, 0.8, 43.4, 76.0, 51.7, 0.6, 47.5, 61.2, -42.3, 3.9, -34.9, 7.6
386, 0.5, 347.5, -45.2, 4.1, -32.2, 14.3, 50.8, 0.9, 45.7, 76.7, 52.3, 0.7, 50.1, 60.7, -43.7, 3.9, -36.6, 6.4
387, 0.5, 350.0, -46.6, 4.0, -32.8, 14.8, 51.4, 0.9, 47.1, 78.3, 53.0, 0.7, 48.2, 60.6, -45.0, 3.8, -36.3, 5.4
388, 0.6, 350.0, -48.5, 4.0, -32.5, 15.6, 51.5, 1.0, 46.9, 79.1, 53.3, 0.8, 45.8, 59.9, -46.7, 3.8, -35.2, 5.2
389, 0.6, 350.0, -49.7, 4.0, -32.9, 16.9, 52.3, 1.0, 48.7, 80.2, 54.2, 0.8, 46.6, 59.1, -47.8, 3.8, -33.9, 5.4
390, 0.6, 352.0, -51.5, 3.9, -34.3, 19.2, 52.5, 1.1, 51.3, 81.9, 54.4, 0.9, 48.8, 57.5, -49.6, 3.7, -35.0, 5.8
391, 0.6, 352.0, -52.7, 3.9, -35.8, 20.9, 53.3, 1.1, 52.1, 81.8, 55.3, 0.9, 53.0, 56.1, -50.7, 3.7, -34.8, 6.5
392, 0.7, 352.0, -54.8, 3.9, -37.0, 22.8, 53.2, 1.2, 51.7, 79.9, 55.3, 1.0, 51.9, 55.4, -52.7, 3.7, -35.9, 8.4
393, 0.7, 355.0, -55.6, 3.8, -39.2, 25.1, 54.4, 1.2, 54.5, 77.8, 56.4, 1.0, 52.1, 54.1, -53.6, 3.6, -36.2, 10.7
394, 0.7, 355.5, -57.8, 3.8, -39.2, 27.4, 54.2, 1.3, 55.2, 73.4, 56.2, 1.1, 56.7, 51.4, -55.8, 3.6, -36.9, 13.4
395, 0.7, 355.5, -58.7, 3.7, -40.2, 29.5, 55.3, 1.3, 54.3, 67.7, 57.4, 1.1, 58.0, 48.9, -56.6, 3.5, -36.9, 16.3
396, 0.7, 355.5, -60.5, 3.7, -42.5, 32.0, 55.5, 1.4, 56.5, 63.1, 57.6, 1.2, 57.4, 46.6, -58.4, 3.5, -39.0, 20.3
397, 0.6, 362.5, -60.7, 3.7, -43.3, 35.1, 57.3, 1.5, 56.5, 59.2, 59.2, 1.3, 58.5, 44.5, -58.8, 3.5, -42.1, 24.0
398, 0.6, 362.5, -63.2, 3.6, -45.0, 38.2, 56.8, 1.5, 58.2, 53.3, 58.6, 1.3, 57.6, 41.4, -61.4, 3.5, -39.9, 25.3
399, 0.6, 362.5, -63.2, 3.6, -47.6, 41.3, 56.8, 1.6, 59.7, 48.9, 58.6, 1.4, 59.6, 38.3, -61.4, 3.4, -41.2, 30.0
